"","KeyCount","RebalanceActive","MaxFixedCache2BranchLength","RebalancingMode","Cache1Items","Cache2Items","Cache2ItemsGone","AvgTime"
"1290",3500,TRUE,15,"Heavy",177.5,2803.25,281.5,3
"1291",3500,TRUE,15,"Mixed",190,2794,283,3
"1292",3500,FALSE,15,"None",293.25,2558.25,1073,4.5
"1293",3500,TRUE,16,"Light",283.25,2591.5,1299.25,5.5
"1294",3500,TRUE,16,"Heavy",143.75,2800.5,179.25,2.75
"1295",3500,TRUE,16,"Mixed",168.75,2828,201.5,2.75
"1296",3500,FALSE,16,"None",220.75,2724.5,699,3.5
"1297",3500,TRUE,17,"Light",194,2769.75,404.5,3
"1298",3500,TRUE,17,"Heavy",159,2864,63,2.25
"1299",3500,TRUE,17,"Mixed",123,2853,66,2.25
"1300",3500,FALSE,17,"None",205.25,2640.25,605.75,3.75
"1301",3500,TRUE,8,"Light",414.25,3122.25,2925.5,9.75
"1302",3500,TRUE,8,"Heavy",390,2736.25,2876.75,9.5
"1303",3500,TRUE,8,"Mixed",424,2930.5,2793.75,9
"1304",3500,FALSE,8,"None",442.25,2258.75,2901.5,9.5
"1305",3500,TRUE,9,"Light",436.5,2184,2624.5,8.5
"1306",3500,TRUE,9,"Heavy",361.25,2297.25,2549.5,8.5
"1307",3500,TRUE,9,"Mixed",382.5,2286.5,2572,8.75
"1308",3500,FALSE,9,"None",443.25,2237.5,2726.5,8.75
"1309",3500,TRUE,10,"Light",442.25,2314.5,2719.25,8.75
"1310",3500,TRUE,10,"Heavy",412,2345.25,2269.25,7.25
"1311",3500,TRUE,10,"Mixed",388.75,2333.25,2184,7.75
"1312",3500,FALSE,10,"None",406.5,2339,2552.75,8.25
"1313",3500,TRUE,11,"Light",395.5,2243.25,2451.5,8.25
"1314",3500,TRUE,11,"Heavy",385.5,2263.25,1761.75,6.25
"1315",3500,TRUE,11,"Mixed",353.25,2316.5,1687.5,6.5
"1316",3500,FALSE,11,"None",401,2277,2328,7.75
"1317",3500,TRUE,12,"Light",374.75,2284.25,2235.75,7.75
"1318",3500,TRUE,12,"Heavy",232,2898.75,1190,4.75
"1319",3500,TRUE,12,"Mixed",321.75,2491.25,1381,5.5
"1320",3500,FALSE,12,"None",325,2482.75,1840.75,6.5
"1321",3500,TRUE,13,"Light",370.25,2365.5,1650.75,6
"1322",3500,TRUE,13,"Heavy",233.5,2698.75,648.75,4
"1323",3500,TRUE,13,"Mixed",226.75,2863.25,778.75,4
"1324",3500,FALSE,13,"None",348,2387,1659.5,6.25
"1325",3500,TRUE,14,"Light",309.25,2865,1812.75,6.75
"1326",3500,TRUE,14,"Heavy",226,2908.25,475.5,3.25
"1327",3500,TRUE,14,"Mixed",211.75,2902.25,553.25,3.75
"1328",3500,FALSE,14,"None",357.75,2768,1718,6.25
"1329",3500,TRUE,15,"Light",271.75,2623.75,1251.5,5.25
"1330",3500,TRUE,15,"Heavy",168.5,2827.75,189.75,2.75
"1331",3500,TRUE,15,"Mixed",156.25,2808.75,181,2.75
"1332",3500,FALSE,15,"None",266.5,2623.5,1111.25,4.75
"1333",3500,TRUE,16,"Light",222,2715,670.75,4
"1334",3500,TRUE,16,"Heavy",159.25,2805.75,164,3.25
"1335",3500,TRUE,16,"Mixed",177.25,2815.75,230.5,3
"1336",3500,FALSE,16,"None",227.75,2715.5,783.25,4
"1337",3500,TRUE,17,"Light",215,2661.5,725.5,3.5
"1338",3500,TRUE,17,"Heavy",155.5,2849.75,113.75,2.25
"1339",3500,TRUE,17,"Mixed",171.5,2839.75,122.25,2.5
