"","KeyCount","RebalanceActive","MaxFixedCache2BranchLength","RebalancingMode","Cache1Items","Cache2Items","Cache2ItemsGone","AvgTime","GoneIntensity"
"219",3000,TRUE,15,"Mixed",272,2180.25,2016.75,8.25,0.4010157
"220",3000,FALSE,15,"None",232.25,2223.75,1722,7.75,0.1389704
"221",3000,TRUE,11,"Light",361,1913.5,3736.25,13,0.2213758
"222",3000,TRUE,11,"Heavy",235,2123.75,2780.25,11,0.0536822
"223",3000,TRUE,11,"Mixed",331.25,2064.5,1966.25,8.25,0.1374828
"224",3000,FALSE,11,"None",449,1770.5,6561,21.75,0.6319071
"225",3000,TRUE,12,"Light",377,1931.25,4334.75,14.75,0.3065201
"226",3000,TRUE,12,"Heavy",233.25,2240.5,1443.25,9.25,0.1215348
"227",3000,TRUE,12,"Mixed",424,1871.5,5160,17.75,0.4892196
"228",3000,FALSE,12,"None",372.75,1934.25,4298,14.75,0.490386
"229",3000,TRUE,13,"Light",315,2033.5,3453.5,12.25,0.4753918
"230",3000,TRUE,13,"Heavy",379.75,1976.75,4384.25,15,0.5850824
"231",3000,TRUE,13,"Mixed",417.25,1856.75,4414,14.75,0.6212417
"232",3000,FALSE,13,"None",324,1857.75,5783.75,19,0.2042591
"233",3000,TRUE,14,"Light",299.5,2098.75,1970,7.75,0.1397926
"234",3000,TRUE,14,"Heavy",246.75,2256,1979.5,9.25,0.09839452
"235",3000,TRUE,14,"Mixed",157,2416.75,228.5,3.25,0.04778133
"236",3000,FALSE,14,"None",324.75,2051,3623.75,13,0.5699998
"237",3000,TRUE,15,"Light",268.75,2196.75,2362.25,9.25,0.2931722
"238",3000,TRUE,15,"Heavy",192.75,2391.5,409,5,0.04473072
"239",3000,TRUE,15,"Mixed",134.75,2449.25,73,3,0.03884636
"240",3000,FALSE,15,"None",241.5,2227.75,1823.5,7.5,0.3558814
"241",3000,TRUE,11,"Light",402.75,1790.5,5286.75,17.75,0.3664757
"242",3000,TRUE,11,"Heavy",445,1736.5,4736.5,15.75,0.5659657
"243",3000,TRUE,11,"Mixed",429,1806.5,5478,18,0.5842112
"244",3000,FALSE,11,"None",433.5,1733.5,4848.25,16.25,0.5170065
"245",3000,TRUE,12,"Light",318.75,1661.25,5752,19,0.514652
"246",3000,TRUE,12,"Heavy",406.75,1808.25,4693.25,15.5,0.4464073
"247",3000,TRUE,12,"Mixed",415,1831.5,5581.75,18.75,0.452454
"248",3000,FALSE,12,"None",339.25,1943,3377.75,12,0.2091246
"249",3000,TRUE,13,"Light",376.25,1845.25,3158.75,11.25,0.2147568
"250",3000,TRUE,13,"Heavy",131,2436,135,3,0.002000056
"251",3000,TRUE,13,"Mixed",342.25,1984.5,3619,12.25,0.5711228
"252",3000,FALSE,13,"None",400,1943.5,4023.5,14,0.5772501
"253",3000,TRUE,14,"Light",347.75,1998.25,4061.75,14.25,0.5381101
